name,location,cords,des
Hanuman Dhoka,"Hanuman Dhoka Sadak, Kathmandu 44600","[27.70462, 85.30748]","Hanuman Dhoka is a complex of structures with the Royal Palace of the Malla kings and also of the Shah dynasty in the Durbar Square of central Kathmandu, Nepal. It is spread over five acres. The Hanuman Dhoka Palace gets its name from the stone image of Hanuman, the Hindu deity, that sits near the main entryway."
Kumari Chowk,"Durbar Square, Kathmandu, Nepal","[27.6419, 84.1227]","Also called Kumari Bahal, this fascinating palace is home to a virgin girl who is worshipped as the goddess Durga in human form. She can sometimes be glimpsed at her windows."
Narayanhiti Palace Museum,"Narayanhiti Path, Kathmandu 44600","[27.715, 85.3183]","The Narayanhiti Palace Museum is a public museum in Kathmandu, Nepal located east of the Kaiser Mahal and next to Thamel. The museum was created in 2008 from the complex of the former Narayanhiti Palace following the 2006 revolution."
Basantapur Tower,"Bagmati, Kathmandu 44600","[27.70895, 85.3158]","Kathmandu Durbar Square is located in front of the old royal palace of the former Kathmandu Kingdom and is one of three Durbar Squares in the Kathmandu Valley in Nepal, all of which are UNESCO World Heritage Sites. Several buildings in the Square collapsed due to a major earthquake on 25 April 2015."
Phewa Lake,"Kaski, Pokhara","[28.2154, 83.9453]","Phewa Lake, Phewa Tal or Fewa Lake is a freshwater lake in Nepal formerly called Baidam Tal located in the south of the Pokhara Valley that includes Pokhara city; parts of Sarangkot and Kaskikot."
Begnas Lake,"Kaski, Nepal",[],"Begnas Lake is a freshwater lake in Pokhara Lekhnath Metropolis of Kaski district of Nepal located in the south-east of the Pokhara Valley. The lake is the third largest lake of Nepal and second largest, after Phewa Lake, among the eight lakes in Pokhara Valley."
Devi's Fall,"Sital path, Pokhara 33700","[28.19, 83.9593]","Devi's Falls is a waterfall located at Pokhara in Kaski District, Nepal. The water forms a tunnel after reaching the bottom. This tunnel is approximately 500 feet long and runs 100 feet below ground level. On 31 July 1961, a Swiss couple went swimming but the woman drowned in a pit because of the overflow."
Shree Bindhyabasini Temple,"Kaski, Nepal","[28.2378, 83.9842]","The Bindhyabasini Temple is the oldest temple in the city of Pokhara, Nepal and is located in Ward No. 2, Miruwa. It regularly attracts a large number of locals, Nepalis from across the country and foreigners alike. The main temple is devoted to goddess Bindhyabasini, a Bhagawati who is the incarnation of Kali."
Mahendra Cave,"7XCH+MR6, Pokhara 33700","[28.271793, 83.979324]","Mahendra Cave is a cave located in Pokhara-16, batulechaur, Kaski district, close to the Kali khola, is a large limestone cave. It is a rare example of a cave system in Nepal containing stalagmites and stalactites. This show cave attracts thousands of tourists every year. "
Tal Barahi,"6X43+XCM, Pokhara 33700","[28.2075, 83.9535]","Tal Barahi temple also known as ‘Lake Temple’ or ‘Barahi Temple’ is a Hindu temple of the Durga. It is the most important religious monument in Pokhara, Nepal. This temple is located on a small island in the middle of Phewa Lake. As the temple is situated on a small island, the only way to visit it is by boat."
Rupa Taal,"Pokhara, Nepal","[28.1542, 84.1132]",Rupa Lake or Rupa Tal is a freshwater lake in Nepal located in the border of Pokhara Metropolitan and Rupa Rural Municipality of Kaski District. It is the third biggest lake in Pokhara valley of Nepal and at an altitude of 600 m covering area about 1.35 km² with an average water depth 3 m and maximum depth 6 m. 
International Mountain Museum,"5XQM+X4P, Pokhara 33700","[28.190065, 83.98286]","The International Mountain Museum is a museum located in Pokhara, Nepal."
Chamero Gufa,"7X8G+X9M, Pokhara 33700","[28.19957, 82.34208]","The Bat Cave is a solutional cave in the Kaski District in Pokhara, Nepal. It is known for a habitat of Horseshoe bats inside the cave, over the walls and ceiling. The cave is formed of limestone. It is a show cave and one of the most popular tourist destinations in Pokhara."
